year,event,driver,team,compound,stint_number,stint_length,start_lap,end_lap,avg_lap_time,best_lap_time,lap_time_std,avg_track_temp,avg_air_temp,lap_times,lap_numbers,sector1_times,sector2_times,sector3_times
2024,Singapore Grand Prix,NOR,McLaren,MEDIUM,1.0,30,1.0,30.0,97.86193333333334,96.495,2.077020693425932,30,25,"[100.424, 98.48, 98.406, 98.446, 97.938, 97.843, 97.621, 97.082, 96.715, 96.83, 96.651, 96.495, 96.67, 96.832, 96.758, 96.624, 97.008, 97.068, 97.282, 96.887, 97.198, 97.115, 97.212, 97.527, 97.404, 97.26, 97.603, 97.528, 101.878, 107.073]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0]","[nan, 29.268, 29.354, 29.399, 29.034, 29.15, 29.048, 28.919, 28.781, 28.727, 28.697, 28.62, 28.639, 28.803, 28.747, 28.723, 28.765, 28.859, 28.814, 28.735, 28.918, 28.812, 28.855, 28.974, 28.797, 28.828, 28.941, 28.917, 28.963, 29.259]","[41.379, 41.412, 41.262, 41.305, 41.159, 41.224, 41.128, 40.798, 40.658, 40.859, 40.842, 40.879, 40.727, 40.825, 40.861, 40.93, 40.959, 41.085, 41.2, 41.172, 41.088, 41.272, 41.138, 41.386, 41.373, 41.187, 41.425, 41.385, 41.543, 41.876]","[27.852, 27.8, 27.79, 27.742, 27.745, 27.469, 27.445, 27.365, 27.276, 27.244, 27.112, 26.996, 27.304, 27.204, 27.15, 26.971, 27.284, 27.124, 27.268, 26.98, 27.192, 27.031, 27.219, 27.167, 27.234, 27.245, 27.237, 27.226, 31.372, 35.938]"
2024,Singapore Grand Prix,NOR,McLaren,HARD,2.0,32,31.0,62.0,97.39728124999999,94.925,3.8906394385662906,30,25,"[118.408, 97.034, 96.684, 96.714, 96.524, 96.216, 96.435, 96.71, 97.325, 97.194, 96.57, 96.404, 96.61, 96.275, 96.928, 95.953, 96.567, 94.925, 96.06, 96.311, 96.603, 96.192, 96.435, 96.749, 96.786, 97.197, 98.849, 97.734, 96.948, 96.631, 96.82, 97.922]","[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0]","[49.556, 28.851, 28.703, 28.639, 28.57, 28.596, 28.512, 28.596, 28.744, 28.722, 28.598, 28.56, 28.776, 28.522, 28.592, 28.332, 28.577, 28.238, 28.515, 28.5, 28.507, 28.497, 28.491, 28.672, 28.613, 28.723, 28.836, 29.021, 28.666, 28.564, 28.686, 28.662]","[41.249, 40.761, 40.783, 40.807, 40.706, 40.535, 40.644, 40.814, 41.192, 41.038, 40.84, 40.731, 40.757, 40.586, 41.135, 40.577, 40.749, 40.206, 40.596, 40.749, 40.946, 40.713, 40.695, 41.034, 41.01, 41.176, 41.398, 41.423, 41.127, 40.969, 41.15, 41.387]","[27.603, 27.422, 27.198, 27.268, 27.248, 27.085, 27.279, 27.3, 27.389, 27.434, 27.132, 27.113, 27.077, 27.167, 27.201, 27.044, 27.241, 26.481, 26.949, 27.062, 27.15, 26.982, 27.249, 27.043, 27.163, 27.298, 28.615, 27.29, 27.155, 27.098, 26.984, 27.873]"
2024,Singapore Grand Prix,VER,Red Bull Racing,MEDIUM,1.0,29,1.0,29.0,98.60313793103448,97.593,1.9314478788895648,30,25,"[101.413, 98.79, 98.917, 98.47, 97.906, 97.997, 97.774, 97.669, 97.89, 97.739, 97.593, 97.778, 97.701, 97.707, 97.826, 97.851, 97.987, 98.068, 98.017, 98.123, 98.172, 98.192, 98.231, 98.399, 98.641, 98.575, 98.927, 99.265, 107.873]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]","[nan, 29.027, 29.353, 29.193, 29.031, 28.952, 29.021, 29.109, 28.961, 28.882, 28.842, 28.894, 28.94, 28.994, 28.967, 29.023, 29.011, 28.965, 28.996, 28.997, 28.989, 28.989, 29.016, 29.056, 29.062, 29.106, 29.264, 29.236, 29.284]","[41.689, 41.805, 41.641, 41.518, 41.31, 41.383, 41.271, 41.083, 41.421, 41.405, 41.269, 41.425, 41.182, 41.292, 41.348, 41.338, 41.423, 41.611, 41.483, 41.569, 41.72, 41.704, 41.711, 41.782, 41.99, 41.818, 41.975, 42.261, 42.515]","[27.888, 27.958, 27.923, 27.759, 27.565, 27.662, 27.482, 27.477, 27.508, 27.452, 27.482, 27.459, 27.579, 27.421, 27.511, 27.49, 27.553, 27.492, 27.538, 27.557, 27.463, 27.499, 27.504, 27.561, 27.589, 27.651, 27.688, 27.768, 36.074]"
2024,Singapore Grand Prix,VER,Red Bull Racing,HARD,2.0,33,30.0,62.0,97.39469696969697,95.967,3.890461118916758,30,25,"[118.989, 96.688, 96.824, 97.022, 96.871, 97.1, 96.968, 96.984, 97.071, 96.957, 96.962, 97.38, 96.865, 96.582, 96.414, 96.618, 96.5, 96.628, 96.739, 96.602, 97.055, 97.132, 96.842, 96.843, 96.748, 96.427, 96.387, 96.402, 96.171, 95.967, 96.343, 96.013, 96.931]","[30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0]","[49.957, 28.61, 28.613, 28.775, 28.699, 28.703, 28.653, 28.691, 28.767, 28.621, 28.662, 28.78, 28.629, 28.636, 28.587, 28.645, 28.552, 28.654, 28.672, 28.749, 28.723, 28.785, 28.632, 28.64, 28.831, 28.561, 28.611, 28.622, 28.499, 28.352, 28.536, 28.446, 28.636]","[41.662, 40.86, 40.928, 41.013, 40.998, 41.14, 41.062, 41.058, 41.074, 41.115, 41.048, 41.247, 41.058, 40.814, 40.752, 40.993, 40.938, 40.908, 40.922, 40.909, 41.192, 41.295, 41.176, 41.069, 40.957, 40.901, 40.869, 40.787, 40.749, 40.694, 40.793, 40.738, 40.974]","[27.37, 27.218, 27.283, 27.234, 27.174, 27.257, 27.253, 27.235, 27.23, 27.221, 27.252, 27.353, 27.178, 27.132, 27.075, 26.98, 27.01, 27.066, 27.145, 26.944, 27.14, 27.052, 27.034, 27.134, 26.96, 26.965, 26.907, 26.993, 26.923, 26.921, 27.014, 26.829, 27.321]"
2024,Singapore Grand Prix,PIA,McLaren,MEDIUM,1.0,38,1.0,38.0,98.7731052631579,97.651,1.7296843453549966,30,25,"[105.268, 98.939, 99.35, 99.356, 98.667, 98.778, 98.419, 97.873, 98.446, 98.429, 98.269, 98.151, 98.215, 97.651, 98.435, 98.088, 98.532, 98.188, 98.749, 98.317, 98.275, 98.415, 98.262, 98.403, 98.516, 98.839, 98.644, 97.7, 97.944, 98.29, 98.149, 98.194, 98.288, 98.038, 98.322, 98.147, 98.437, 106.395]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0]","[nan, 29.283, 29.077, 29.343, 29.101, 29.132, 29.002, 28.888, 29.101, 29.15, 29.083, 28.845, 28.881, 28.822, 29.004, 29.003, 28.941, 28.981, 28.849, 28.98, 28.855, 29.002, 28.955, 28.958, 28.834, 28.768, 28.794, 28.663, 28.916, 28.893, 28.907, 28.854, 28.894, 28.802, 29.036, 28.965, 29.129, 28.989]","[43.494, 41.853, 42.332, 42.235, 41.853, 41.923, 41.742, 41.45, 41.692, 41.615, 41.491, 41.706, 41.633, 41.347, 41.615, 41.57, 41.907, 41.599, 42.365, 41.765, 41.872, 41.924, 41.809, 42.0, 42.087, 42.378, 42.31, 41.481, 41.686, 41.829, 41.833, 41.918, 42.004, 41.815, 41.983, 41.783, 41.919, 42.029]","[28.089, 27.803, 27.941, 27.778, 27.713, 27.723, 27.675, 27.535, 27.653, 27.664, 27.695, 27.6, 27.701, 27.482, 27.816, 27.515, 27.684, 27.608, 27.535, 27.572, 27.548, 27.489, 27.498, 27.445, 27.595, 27.693, 27.54, 27.556, 27.342, 27.568, 27.409, 27.422, 27.39, 27.421, 27.303, 27.399, 27.389, 35.377]"
2024,Singapore Grand Prix,PIA,McLaren,HARD,2.0,24,39.0,62.0,97.54233333333333,95.745,4.309945603073115,30,25,"[117.551, 96.61, 96.265, 95.888, 96.167, 97.363, 97.258, 96.324, 96.33, 95.745, 95.881, 98.31, 97.269, 96.856, 97.406, 96.841, 95.995, 96.355, 96.07, 96.056, 97.009, 97.191, 97.407, 96.869]","[39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0]","[49.349, 28.262, 28.576, 28.445, 28.443, 28.148, 28.497, 28.643, 28.629, 28.604, 28.448, 28.517, 28.733, 28.49, 28.883, 28.529, 28.45, 28.525, 28.422, 28.442, 28.358, 28.458, 28.68, 28.415]","[41.086, 41.424, 40.762, 40.724, 40.894, 41.883, 41.491, 40.69, 40.776, 40.478, 40.697, 42.184, 41.511, 41.127, 41.362, 41.271, 40.675, 40.943, 40.813, 40.719, 41.323, 41.515, 41.455, 41.361]","[27.116, 26.924, 26.927, 26.719, 26.83, 27.332, 27.27, 26.991, 26.925, 26.663, 26.736, 27.609, 27.025, 27.239, 27.161, 27.041, 26.87, 26.887, 26.835, 26.895, 27.328, 27.218, 27.272, 27.093]"
2024,Singapore Grand Prix,RUS,Mercedes,MEDIUM,1.0,27,1.0,27.0,98.99674074074073,98.05,1.9164714690644096,30,25,"[103.822, 98.489, 99.712, 99.17, 98.604, 98.372, 98.365, 98.26, 98.174, 98.332, 98.179, 98.091, 98.05, 98.173, 98.459, 98.526, 98.855, 98.404, 98.224, 98.336, 98.464, 98.364, 98.417, 98.518, 98.892, 98.757, 106.903]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0]","[nan, 28.986, 29.453, 29.464, 29.227, 29.243, 29.168, 29.102, 29.061, 29.046, 29.158, 29.018, 29.144, 29.012, 29.215, 29.14, 29.149, 29.077, 29.063, 29.053, 29.196, 29.098, 29.113, 29.083, 29.223, 29.083, 29.178]","[42.792, 41.538, 42.39, 42.067, 41.79, 41.65, 41.685, 41.735, 41.612, 41.781, 41.617, 41.568, 41.566, 41.688, 41.752, 41.735, 42.08, 41.791, 41.664, 41.765, 41.661, 41.709, 41.733, 41.88, 41.996, 42.059, 42.102]","[27.801, 27.965, 27.869, 27.639, 27.587, 27.479, 27.512, 27.423, 27.501, 27.505, 27.404, 27.505, 27.34, 27.473, 27.492, 27.651, 27.626, 27.536, 27.497, 27.518, 27.607, 27.557, 27.571, 27.555, 27.673, 27.615, 35.623]"
2024,Singapore Grand Prix,RUS,Mercedes,HARD,2.0,35,28.0,62.0,98.30568571428573,97.047,3.3149348744505893,30,25,"[117.061, 97.097, 97.047, 97.404, 97.348, 97.449, 98.356, 99.168, 99.164, 97.786, 97.577, 97.369, 97.545, 97.224, 97.316, 97.236, 97.701, 99.372, 98.413, 97.636, 97.596, 97.408, 98.007, 97.545, 97.299, 97.497, 97.38, 97.311, 97.381, 97.575, 97.796, 98.326, 97.872, 98.282, 98.155]","[28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0]","[48.589, 28.644, 28.709, 28.766, 28.913, 28.827, 28.611, 28.733, 29.298, 28.816, 28.843, 28.861, 28.982, 28.888, 28.814, 28.791, 28.639, 28.881, 29.076, 28.976, 28.901, 28.852, 28.836, 28.847, 28.772, 28.852, 28.698, 28.694, 28.732, 28.655, 28.659, 28.785, 28.765, 29.034, 28.74]","[41.034, 41.145, 41.104, 41.24, 41.198, 41.375, 41.783, 41.971, 42.069, 41.631, 41.282, 41.32, 41.299, 41.192, 41.316, 41.323, 41.696, 43.003, 41.894, 41.481, 41.42, 41.361, 41.83, 41.442, 41.334, 41.496, 41.495, 41.388, 41.534, 41.642, 41.835, 42.103, 41.92, 41.976, 41.954]","[27.438, 27.308, 27.234, 27.398, 27.237, 27.247, 27.962, 28.464, 27.797, 27.339, 27.452, 27.188, 27.264, 27.144, 27.186, 27.122, 27.366, 27.488, 27.443, 27.179, 27.275, 27.195, 27.341, 27.256, 27.193, 27.149, 27.187, 27.229, 27.115, 27.278, 27.302, 27.438, 27.187, 27.272, 27.461]"
2024,Singapore Grand Prix,LEC,Ferrari,MEDIUM,1.0,36,1.0,36.0,99.45469444444444,98.187,1.9266636420721042,30,25,"[107.09, 99.775, 99.14, 99.31, 99.041, 98.797, 98.645, 98.727, 98.691, 98.582, 98.913, 98.776, 98.671, 98.707, 98.515, 98.904, 99.561, 98.814, 98.734, 99.087, 99.315, 99.008, 99.688, 99.372, 100.029, 98.867, 99.153, 99.795, 98.371, 99.543, 99.214, 98.505, 98.187, 98.494, 99.264, 107.084]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0]","[nan, 29.43, 29.157, 29.079, 28.991, 28.885, 28.954, 28.889, 28.87, 28.704, 28.98, 28.876, 28.898, 28.761, 28.669, 28.657, 29.34, 29.167, 29.021, 28.836, 29.175, 29.064, 29.36, 29.022, 29.402, 29.214, 29.163, 29.071, 28.9, 29.136, 29.313, 29.045, 29.055, 29.001, 28.977, 29.1]","[44.011, 42.264, 42.136, 42.512, 42.147, 42.233, 42.14, 42.092, 42.117, 42.145, 42.207, 42.292, 42.154, 42.304, 42.226, 42.608, 42.244, 41.996, 41.998, 42.5, 42.45, 42.343, 42.525, 42.387, 42.508, 41.963, 42.339, 42.984, 41.785, 41.751, 42.14, 41.91, 41.688, 41.863, 42.084, 42.344]","[28.522, 28.081, 27.847, 27.719, 27.903, 27.679, 27.551, 27.746, 27.704, 27.733, 27.726, 27.608, 27.619, 27.642, 27.62, 27.639, 27.977, 27.651, 27.715, 27.751, 27.69, 27.601, 27.803, 27.963, 28.119, 27.69, 27.651, 27.74, 27.686, 28.656, 27.761, 27.55, 27.444, 27.63, 28.203, 35.64]"
2024,Singapore Grand Prix,LEC,Ferrari,HARD,2.0,26,37.0,62.0,97.48584615384615,95.371,4.120016123194741,30,25,"[117.168, 96.556, 96.287, 97.48, 96.166, 97.266, 95.849, 95.639, 95.716, 95.371, 95.758, 95.792, 96.252, 97.53, 96.424, 96.02, 96.099, 96.454, 96.56, 96.497, 96.802, 97.51, 98.218, 98.166, 98.326, 98.726]","[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0]","[48.936, 28.62, 28.522, 28.462, 28.345, 28.574, 28.432, 28.411, 28.29, 28.214, 28.407, 28.443, 28.397, 28.456, 28.557, 28.488, 28.438, 28.476, 28.615, 28.409, 28.518, 28.433, 28.503, 28.725, 28.672, 28.489]","[40.866, 40.705, 40.716, 42.183, 40.764, 41.285, 40.571, 40.386, 40.586, 40.369, 40.515, 40.49, 40.686, 41.496, 40.933, 40.652, 40.778, 40.947, 41.002, 41.071, 41.149, 41.785, 42.114, 42.105, 42.063, 41.919]","[27.366, 27.231, 27.049, 26.835, 27.057, 27.407, 26.846, 26.842, 26.84, 26.788, 26.836, 26.859, 27.169, 27.578, 26.934, 26.88, 26.883, 27.031, 26.943, 27.017, 27.135, 27.292, 27.601, 27.336, 27.591, 28.318]"
